,State_Name,District_Name,Season,Crop,Area,Production,Yield
426,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,548.0,81.1,0.14799270072992698
427,Odisha,ANUGUL,Winter     ,Rice,69000.0,152000.0,2.2028985507246377
428,Odisha,ANUGUL,Winter     ,Sesamum,1352.0,266.3,0.19696745562130177
429,Odisha,ANUGUL,Winter     ,Sugarcane,75.0,4166.8,55.55733333333333
430,Odisha,ANUGUL,Winter     ,Urad,1182.0,318.0,0.26903553299492383
431,Odisha,ANUGUL,Autumn     ,Groundnut,1342.0,1512.4,1.1269746646795828
432,Odisha,ANUGUL,Autumn     ,Maize,482.0,490.8,1.0182572614107883
433,Odisha,ANUGUL,Autumn     ,Moong(Green Gram),957.0,205.8,0.21504702194357367
434,Odisha,ANUGUL,Autumn     ,Rice,13000.0,16000.0,1.2307692307692308
435,Odisha,ANUGUL,Autumn     ,Sesamum,344.0,82.9,0.24098837209302326
436,Odisha,ANUGUL,Autumn     ,Urad,1315.0,352.4,0.2679847908745247
437,Odisha,ANUGUL,Summer     ,Groundnut,181.0,242.9,1.3419889502762432
438,Odisha,ANUGUL,Summer     ,Maize,26.0,43.4,1.669230769230769
439,Odisha,ANUGUL,Summer     ,Moong(Green Gram),306.0,107.7,0.3519607843137255
440,Odisha,ANUGUL,Summer     ,Sesamum,104.0,29.2,0.28076923076923077
441,Odisha,ANUGUL,Summer     ,Urad,53.0,22.3,0.4207547169811321
442,Odisha,ANUGUL,Winter     ,Groundnut,371.0,527.6,1.4221024258760109
443,Odisha,ANUGUL,Winter     ,Horse-gram,2157.0,722.6,0.3350023180343069
444,Odisha,ANUGUL,Winter     ,Maize,38.0,68.6,1.8052631578947367
445,Odisha,ANUGUL,Winter     ,Moong(Green Gram),803.0,210.4,0.26201743462017435
446,Odisha,ANUGUL,Winter     ,Potato,443.0,4708.6,10.628893905191875
447,Odisha,ANUGUL,Winter     ,Rapeseed &Mustard,446.0,63.3,0.14192825112107624
